"ZMX1","DEG2","RQT3","FKX4","XYN5","Output27","DGT6","HIA7","MIP8","WYH9","GBC10"
52.872,25.139,39.727,56,42.484,"Class3","R",47.222,20.085,22.346,101.598
77.962,46.177,35.913,39,36.388,"Class2","M",57.158,41.044,NA,71.931
77.71,41.708,34.722,74,39.079,"Class2","R",83.935,41.744,NA,81.919
35.073,82.903,13.751,75,32.068,"Class4","O",46.128,44.527,28.4,15.211
77.823,46.063,36.348,44,28.705,"Class2","L",88.051,19.62,94.281,86.699
33.053,75.152,74.171,91,57.21,"Class4","Z",28.535,36.614,27.032,13.329
58.004,51.759,38.885,84,47.431,"Class3","S",40.36,18.191,24.473,48.923
78.02,41.597,30.092,43,52.76,"Class2","M",58.903,29.969,89.901,69.136
38.838,91.657,105.794,71,85.793,"Class1","M",25.669,29.068,75.109,42.605
77.792,41.742,42.22,58,42.517,"Class2","L",87.958,41.638,92.849,81.463
61.758,67.252,41.001,77,34.755,"Class3","N",44.296,19.512,23.97,97.312
38.35,92.947,60.861,70,85.401,"Class1","O",65.799,82.515,68.122,44.385
12.419,89.51,76.182,71,85.229,"Class1","G",50.063,13.485,75.908,38.05
6.786,88.389,59.286,71,NA,"Class1","G",25.809,47.485,88.807,53.539
34.855,72.275,42.066,37,35.988,"Class3","S",59.944,16.766,24.484,48.662
11.732,89.473,48.93,69,86.702,"Class1","D",29.957,45.666,61.004,66.706
77.652,41.236,34.534,59,48.548,"Class2","R",84.926,23.238,96.465,87.684
33.528,89.345,45.937,69,81.751,"Class1","D",18.889,14.642,61.399,41.016
20.742,89.21,38.14,70,86.749,"Class1","G",28.184,27.453,70.244,51.767
77.051,43.595,37.541,49,39.378,"Class2","N",55.585,21.17,77.892,68.045
38.954,30.903,42.959,26,36.397,"Class3","N",39.409,18.983,24.48,78.647
76.99,42.722,27.608,33,66.659,"Class2","N",85.426,44.862,83.749,69.976
77.304,45.717,32.721,74,39.146,"Class2","N",84.476,19.019,89.901,76.982
77.659,42.135,31.696,87,40.679,"Class2","L",92.554,46.798,76.494,74.32
16.841,56.968,24.308,96,45.963,"Class4","C",40.391,27.021,29.784,13.988
34.047,59.214,41.03,29,36.292,"Class3","S",58.057,18.158,23.987,113.054
76.847,42.09,30.73,32,19.253,"Class2","Y",74.161,54.192,85.9,83.101
20.011,90.268,50.887,69,85.135,"Class1","B",76.032,75.796,84.864,59.254
37.712,22.73,59.904,91,54.974,"Class4","O",26.095,46.764,29.796,2.942
19.145,88.257,30.071,71,86.039,"Class1","G",20.053,78.488,78.623,44.458
46.899,52.276,26.838,27,40.406,"Class4","C",39.103,34.723,NA,18.174
18.318,88.438,64.105,71,83.536,"Class1","O",58.463,77.237,86.155,53.989
30.61,47.679,52.468,94,63.194,"Class4","O",50.731,47.677,NA,17.432
57.8,74.445,41.901,75,41.701,"Class3","R",39.302,22.697,23.893,63.24
33.863,89.297,92.867,71,81.661,"Class1","G",62.416,82.678,56.105,45.381
33.597,45.207,45.906,41,39.531,"Class3","R",51.035,21.662,25.118,44.209
55.072,25.57,42.461,27,36.16,"Class3","R",38.074,17.715,24.576,72.836
77.851,41.185,35.802,72,32.304,"Class2","R",55.835,20.668,77.328,83.014
25.338,92.672,44.387,71,83.903,"Class1","M",8.977,15.034,63.716,57.007
3.721,90.918,42.607,71,88.135,"Class1","M",52.714,52.315,83.002,69.633
26.266,92.383,27.582,71,83.319,"Class1","D",42.98,64.794,79.42,60.299
12.573,92.621,79.213,70,85.72,"Class1","D",86.81,76.418,53.19,53.366
77.249,46.424,35.793,53,45.684,"Class2","L",71.95,44.272,78.478,85.831
57.81,43.234,28.534,96,40.594,"Class4","O",34.802,40.287,20.052,7.814
59.544,89.568,38.589,37,40.444,"Class3","H",46.029,20.879,26.156,90.811
41.064,16.751,20.585,26,50.542,"Class4","Z",18.855,28.277,12.559,12.646
77.33,42.868,38.165,38,13.443,"Class2","M",67.731,32.749,82.078,76.65
36.1,47.172,27.993,26,30.162,"Class4","D",40.087,51.151,15.018,11.839
77.921,42.023,32.325,44,50.687,"Class2","M",71.22,21.779,85.83,80.702
-0.11,88.134,66.235,70,84.575,"Class1","G",18.954,56.744,73.631,52.764
22.936,89.638,67.385,70,80.777,"Class1","M",60.064,70.114,NA,19.949
77.18,45.604,32.453,44,35.678,"Class2","N",73.543,13.748,86.994,88.261
22.769,88.976,13.945,71,86.119,"Class1","G",10.256,48.241,80.062,70.338
77.062,44.771,36.142,39,39.048,"Class2","Y",71.485,39.935,91.825,82.792
47.392,59.666,27.162,52,24.255,"Class4","D",15.565,33.165,19.089,15.114
77.232,41.679,32.124,47,22.202,"Class2","R",77.851,33.447,82.52,75.901
9.961,89.839,55.363,71,83.97,"Class1","O",45.342,34.046,76.904,49.465
22.68,92.194,68.928,69,83.6,"Class1","O",35.641,50.794,79.174,42.388
77.685,44.678,36.701,86,59.831,"Class2","R",73.47,34.931,85.472,88.088
56.121,22.114,44.198,26,31.058,"Class3","D",56.652,18.967,25.607,113.623
27.855,14.343,43.375,90,20.972,"Class4","D",42.334,48.595,26.843,5.968
9.884,91.469,82.496,70,87.857,"Class1","G",81.435,39.595,89.283,49.761
77.636,43.821,39.311,77,40.89,"Class2","Y",81.507,10.246,77.547,96.32
77.732,44.496,33.323,59,28.087,"Class2","M",62.516,20.548,96.392,92.064
56.671,39.845,42.38,70,29.535,"Class3","R",49.243,20.822,25.532,76.242
11.711,88.896,99.292,69,87.187,"Class1","D",86.149,8.84,90.783,47.577
36.678,76.141,40.562,50,37.525,"Class3","H",44.414,16.155,26.963,85.064
36.892,35.961,43.42,18,37.144,"Class3","N",56.95,21.316,22.021,82.396
34.066,88.6,57.087,71,82.788,"Class1","O",65.558,39.72,58.031,50.611
77.639,41.186,30.436,90,21.816,"Class2","R",75.198,10.303,92.785,87.357
77.738,44.552,36.386,67,51.353,"Class2","R",68.633,48.568,97.512,88.393
29.329,33.343,44.421,54,36.542,"Class4","N",18.083,35.478,35.539,9.64
52.009,20.148,42.368,67,32.895,"Class3","R",39.307,17.829,25.099,113.129
34.424,80.165,39.614,41,39.279,"Class3","H",50.904,22.482,24.003,114.634
18.419,91.061,32.596,71,87.284,"Class1","B",47.102,24.283,94.441,59.992
39.799,61.206,41.135,19,31.25,"Class3","D",40.995,19.245,26.912,63.993
24.381,60.648,44.699,38,21.298,"Class4","O",26.837,26.114,14.597,9.603
77.875,44.49,35.445,68,30.806,"Class2","Y",64.389,49.502,82.884,86.192
77.14,41.128,35.69,74,34.581,"Class2","L",57.193,13.167,97.344,88.894
65.614,54.892,39.613,86,31.406,"Class3","H",55.77,20.042,NA,83.647
29.39,70.641,47.309,51,62.923,"Class4","D",12.871,47.134,16.521,0.121
33.498,65.182,14.344,93,49.309,"Class4","O",12.69,39.582,13.104,16.767
48.268,69.985,40.181,31,33.811,"Class3","D",43.699,20.795,26.011,79.292
77.636,43.644,35.389,61,21.638,"Class2","Y",72.883,24.025,77.52,81.805
16.594,52.022,42.466,62,34.77,"Class4","O",20.287,50.573,24.193,10.02
78.017,43.633,31.47,77,19.975,"Class2","N",68.044,18.451,76.209,98.851
45.669,73.761,17.856,55,43.056,"Class4","N",34.559,43.417,15.877,9.055
34.768,50.131,43.737,76,46.311,"Class3","R",45.011,16.439,22.444,48.462
64.241,70.841,39.242,31,41.127,"Class3","R",49.259,18.94,24.569,50.273
42.766,31.342,33.142,98,15.661,"Class4","C",13.592,40.896,15.761,7.814
23.903,80.048,40.663,59,39.477,"Class3","S",59.412,22.295,26.597,111.488
21.042,71.968,15.443,90,31.883,"Class4","D",41.155,44.551,36.644,16.595
41.423,88.099,99.899,71,85.306,"Class1","G",70.424,78.432,80.422,54.721
16.212,88.118,49.957,71,86.465,"Class1","M",61.858,73.343,54.02,53.495
34.168,89.034,116.62,70,87.52,"Class1","G",68.285,28.828,73.873,40.349
8.034,40.369,20.448,94,45.619,"Class4","N",49.13,52.198,NA,13.83
13.815,88.212,90.334,69,83.949,"Class1","M",36.881,13.789,55.221,83.714
32.073,92.963,79.517,69,82.926,"Class1","M",16.103,79.035,NA,36.409
-1.094,88.471,80.393,71,84.617,"Class1","O",55.95,58.678,93.793,43.749
62.984,43.841,-13.994,26,NA,"Class4","O",45.604,33.524,14.236,7.568
39.689,52.501,78.372,65,21.772,"Class4","Z",46.324,34.146,29.831,10.767
27.432,39.468,-23.257,86,NA,"Class4","N",12.639,46.279,29.04,8.593
46.405,44.817,4.35,46,30.959,"Class4","D",24.055,41.99,28.269,18.643
23.157,55.179,67.983,31,52.849,"Class4","O",17.536,54.098,11.603,6.327
44.173,36.513,42.466,29,42.356,"Class3","D",58.925,16.572,25.985,88.713
20.21,90.42,82.664,69,85.6,"Class1","M",73.037,13.936,70.952,41.861
29.543,88.033,37.497,70,84.916,"Class1","M",65.835,44.741,86.423,47.781
68.276,26.366,42.946,70,45.123,"Class3","R",36.805,22.387,24.064,67.129
77.368,42.014,26.962,73,56.186,"Class2","N",70.998,27.328,82.181,69.685
77.069,41.85,30.479,89,33.485,"Class2","N",82.496,11.803,83.964,88.93
9.013,91.865,47.446,71,86.579,"Class1","O",35.327,38.338,92.484,57.613
55.193,40.927,45.805,81,NA,"Class3","N",50.027,21.101,25.033,78.614
77.704,42.723,29.274,67,68.977,"Class2","L",87.492,47.259,89.175,95.401
21.28,91.762,92.324,70,86.3,"Class1","G",64.05,79.913,78.993,37.257
77.259,41.777,41.852,29,50.132,"Class3","S",49.726,18.025,26.269,86.77
50.337,66.109,41.943,12,44.513,"Class3","D",46.931,22.811,22.893,76.077
41.516,47.77,43.5,16,34.612,"Class3","R",34.672,16.903,22.147,71.912
9.759,92.864,68.021,71,85.922,"Class1","D",73.404,33.689,76.716,33.636
77.426,43.9,29.597,53,71.739,"Class2","L",65.199,28.427,NA,96.902
-6.486,90.928,70.335,70,85.397,"Class1","G",34.162,25.072,72.04,39.661
21.616,55.388,47.005,36,63.511,"Class4","N",13.212,53.981,36.334,8.766
32.568,91.137,50.075,71,83.402,"Class1","O",68.502,48.289,89.29,52.833
77.37,45.347,30.736,56,46.404,"Class2","Y",64.731,36.676,96.447,78.035
8.651,92.408,45.653,69,88.701,"Class1","D",8.556,54.855,87.145,39.497
44.35,19.342,43.372,27,36.844,"Class3","S",51.254,19.719,24.394,55.98
33.239,89.314,62.281,70,86.434,"Class1","O",37.775,12.842,68.307,47.887
72.808,62.021,43.07,32,39.463,"Class3","D",43.308,18.243,24.584,64.742
7.442,88.384,39.033,71,82.833,"Class1","D",24.797,72.769,77.072,58.552
32.443,41.132,71.566,41,45.887,"Class4","O",28.278,41.825,27.441,6.908
12.652,92.531,57.05,70,84.37,"Class1","G",70.353,22.368,NA,63.781
38.036,66.503,26.599,30,65.577,"Class4","C",12.906,41.957,19.527,10.138
55.986,87.06,40.741,79,30.092,"Class3","H",55.01,17.311,23.666,80.885
33.323,44.047,26.892,46,34.122,"Class4","N",23.507,27.036,24.025,0.681
