"GEF1","ZJQ2","PNA3","HJS4","KWG5","Output7","CWN6","FKT7","HTK8","OWZ9","XEK10","YQP11"
"N",46.407,66.619,31,101.025,"Class2",49.307,"X",17.823,76.671,11.181,NA
"D",43.579,56.634,35,82.53,"Class2",83.291,"C",17.98,80.572,6.989,17.627
"D",56.029,51.194,57,70.867,"Class1",5.449,"D",27.243,39.541,92.972,37.607
"T",64.66,50.606,55,77.2,"Class1",22.78,"X",53.956,87.621,78.037,54.028
"D",56.932,51.033,57,91.225,"Class1",43.03,"P",60.418,12.285,72.936,23.307
"D",29.663,50.494,53,75.705,"Class1",24.05,"X",12.355,26.338,78.517,70.208
"C",81.543,50.833,57,73.048,"Class1",62.214,"D",39.308,17.669,80.012,63.061
"U",47.267,53.615,35,56.086,"Class2",38.839,"L",15.906,87.104,6.277,23.509
"O",34.559,16.033,61,18.163,"Class3",63.523,"L",55.417,30.49,82.432,77.687
"S",34.582,9.767,68,15.554,"Class3",48.801,"G",47.261,86.617,51.885,55.328
"N",49.106,28.09,38,101.754,"Class2",61.194,"C",46.112,84.943,5.592,26.828
"O",35.926,12.583,64,17.284,"Class3",45.438,"L",58.531,39.508,21.876,71.544
"S",36.064,20.401,65,5.007,"Class3",39.579,"E",59.307,89.596,21.776,48.808
"S",35.035,12.786,67,8.76,"Class3",65.715,"L",47.337,60.942,88.147,NA
"G",18.305,52.659,53,55.604,"Class1",14.243,"X",64.476,83.27,69.57,62.56
"U",46.478,25.541,41,32.237,"Class2",34.993,"Q",15.935,81.427,7.759,28.074
"C",72.605,51.234,57,36.356,"Class1",12.31,"I",14.438,90.303,68.972,26.647
"A",34.902,23.512,63,31.393,"Class3",50.43,"R",49.74,45.117,59.991,64.668
"G",35.262,50.943,55,66.456,"Class1",11.19,"C",32.197,66.329,78.515,91.865
"S",34.467,6.246,67,19.239,"Class3",47.539,"R",54.077,26.892,71.995,66.316
"G",35.5,17.319,71,18.053,"Class3",55.504,"G",55.596,36.793,70.561,75.099
"G",53.221,50.207,51,77.801,"Class1",34.034,"P",33.295,23.118,80.226,43.002
"Z",52.408,44.845,40,45.246,"Class2",68.741,"X",30.573,83.312,6.71,18.667
"N",44.845,30.115,27,28.583,"Class2",57.708,"C",32.907,76.582,7.257,16.851
"G",34.571,9.024,60,22.869,"Class3",50.484,"E",56.217,79.446,86.231,94.111
"D",76.692,51.614,55,63.826,"Class1",35.954,"P",34.539,66.203,91.427,26.139
